raceId,name,date,time_x,driverId,driverRef,code,constructorId,constructorRef,grid,position,positionOrder,points,time_y,milliseconds,fastestLapTime,fastestLapSpeed,statusId,status,year,prev_date,prev_time,quali_date,relative_position,positionGain,prev_position,fastestSpeedGain,relative_fastestLapSpeed,positionChange,weighted_avg_compound_sentiment,pos_tweets_sum,neg_tweets_sum,total_tweets,avg_compound_sentiment,pos_tweets_perc,neg_tweets_perc,neut_tweets_perc,neut_tweets_sum,pos_tweets_ratio,neg_tweets_ratio
1063,Belgian Grand Prix,2021-08-29,13:00:00,4,alonso,ALO,214,alpine,12,11,11,0.0,+20.590,00:03:47.661000,,,1,Finished,2021,2021-08-01,13:00:00,2021-08-28,-2.666666666666666,-7.0,4.0,,17.006166666666644,-1,0.2581582042931322,1419.0,214.0,4065.0,0.24671035670356703,34.90774907749078,5.264452644526445,59.82779827798278,2432.0,0.868952847519902,0.131047152480098
1064,Dutch Grand Prix,2021-09-05,13:00:00,4,alonso,ALO,214,alpine,9,6,6,8.0,,,00:01:14.323000,206.294,11,Finished,2021,2021-08-29,13:00:00,2021-09-04,2.333333333333334,5.0,11.0,,2.021166666666659,-3,0.2046073310359685,36.0,3.0,245.0,0.13669836734693877,14.693877551020408,1.2244897959183674,84.08163265306122,206.0,0.9230769230769231,0.07692307692307693
1065,Italian Grand Prix,2021-09-12,13:00:00,4,alonso,ALO,214,alpine,10,8,8,4.0,+17.201,01:22:11.566000,00:01:25.472000,243.995,1,Finished,2021,2021-09-05,13:00:00,2021-09-10,0.3333333333333339,-2.0,6.0,37.70099999999999,-5.403833333333353,-2,0.16874465337798714,149.0,23.0,523.0,0.19361682600382413,28.489483747609942,4.397705544933078,67.11281070745699,351.0,0.8662790697674418,0.13372093023255813
1066,Russian Grand Prix,2021-09-26,12:00:00,4,alonso,ALO,214,alpine,6,6,6,8.0,+1:21.321,01:32:02.322000,00:01:38.686000,213.331,1,Finished,2021,2021-09-12,13:00:00,2021-09-25,2.333333333333334,2.0,8.0,-30.664000000000016,-15.277833333333348,0,,,,,,,,,,,
1067,Turkish Grand Prix,2021-10-10,12:00:00,4,alonso,ALO,214,alpine,5,16,16,0.0,,,00:01:33.252000,206.073,11,Finished,2021,2021-09-26,12:00:00,2021-10-09,-7.666666666666666,-10.0,6.0,-7.257999999999981,-59.42783333333335,11,,,,,,,,,,,
1069,United States Grand Prix,2021-10-24,19:00:00,4,alonso,ALO,214,alpine,19,,18,0.0,,,00:01:40.067000,198.335,65,Rear wing,2021,2021-10-10,12:00:00,2021-10-23,-9.666666666666666,-2.0,16.0,-7.7379999999999995,-13.145833333333343,-1,-0.12017137269817256,112.0,37.0,555.0,0.09884918918918918,20.18018018018018,6.666666666666667,73.15315315315316,406.0,0.7516778523489933,0.2483221476510067
1070,Mexico City Grand Prix,2021-11-07,19:00:00,4,alonso,ALO,214,alpine,12,9,9,2.0,,,00:01:20.711000,191.973,11,Finished,2021,2021-10-24,19:00:00,2021-11-06,-0.6666666666666661,9.0,18.0,-6.361999999999995,-8.912833333333339,-3,0.1994467555736888,150.0,88.0,986.0,0.043730628803245436,15.212981744421906,8.924949290060852,75.86206896551724,748.0,0.6302521008403361,0.3697478991596639
1071,São Paulo Grand Prix,2021-11-14,17:00:00,4,alonso,ALO,214,alpine,12,9,9,2.0,,,00:01:13.922000,209.848,11,Finished,2021,2021-11-07,19:00:00,2021-11-12,-0.6666666666666661,0.0,9.0,17.875,19.27916666666667,-3,0.4204335585122294,130.0,41.0,610.0,0.13264393442622952,21.311475409836067,6.721311475409836,71.9672131147541,439.0,0.7602339181286549,0.23976608187134502
1051,Qatar Grand Prix,2021-11-21,14:00:00,4,alonso,ALO,214,alpine,3,3,3,15.0,+59.457,01:25:27.928000,00:01:26.682000,223.437,1,Finished,2021,2021-11-14,17:00:00,2021-11-20,5.333333333333334,6.0,9.0,13.588999999999999,10.253166666666658,0,0.20224340812945965,200.0,41.0,836.0,0.16348193779904305,23.923444976076556,4.904306220095694,71.17224880382776,595.0,0.8298755186721992,0.17012448132780084
1072,Saudi Arabian Grand Prix,2021-12-05,17:30:00,4,alonso,ALO,214,alpine,13,13,13,0.0,,,00:01:31.633000,242.558,11,Finished,2021,2021-11-21,14:00:00,2021-12-04,-4.666666666666666,-10.0,3.0,19.12099999999998,0.30016666666665515,0,0.30299017534603295,879.0,65.0,2718.0,0.25740397350993377,32.33995584988963,2.3914643119941132,65.26857983811625,1774.0,0.9311440677966102,0.06885593220338983
